stt,khudl,tinhthanh,mota,linkanh
1,Khu du lịch sinh thái cộng đồng Bản Ven xanh,"Yên Thế, Bắc Giang","Bản Ven, một tọa độ yên bình tại Yên Thế. Nơi đây được mẹ thiên nhiên ưu ái ban tặng nhiều sản vật phong phú như chè, mật ong rừng, … Bản Ven thu hút rất nhiều lượng khách thành thị vào dịp cuối tuần, họ tìm đến đây để tận hưởng không gian xanh mướt mát mẻ, tìm lại nguồn cảm hứng làm việc cho một tuần mới.
Như thanh âm trong trẻo cất lên giữa núi đồi Bắc Giang, Bản Ven xanh, trong lành sẽ là trải nghiệm mới mẻ cho bạn trong mùa hè này. Từ bầu không khí trong vắt tới ngọt ngào, mát mẻ của núi rừng cụ Đề, tới những phút giây đắm mình trong làn nước mát lạnh từ các con suối chảy qua bản và vô vàn cảnh quan đẹp xinh cho bạn thỏa sức “sống ảo”. Bản Ven cũng là một trong số những vùng đất hiếm hoi còn lưu giữ nhiều giá trị văn hóa của đồng bào dân tộc Cao Lan. Tất cả những điều trên đã góp phần tạo nên một chuyến đi, một dấu ấn sâu đậm trong lòng du khách. 
Bản Ven được thiên nhiên ưu ái ban cho vẻ đẹp thuần khiết còn nhiều nét sơ khai. Rời xa phố thị tấp nập, ồn ào, khi đến với Bản Ven, bạn sẽ cảm nhận được ngay sự an yên tuyệt vời. Xung quanh sẽ chỉ có tiếng lá xào xạc, tiếng chim hót, tiếng suối róc rách cùng cảnh sắc mát mẻ, trong lành giữa đại ngàn của núi rừng Yên Thế. Tới đây, bạn có thể trút bỏ hết những âu lo thường nhật để hòa mình vào không gian tĩnh lặng, nghe tiếng lá cây xào xạc trong gió, tiếng chim hót véo von, tiếng nước suối chảy thì thầm, róc rách, kèm âm thanh rì rào của thác đổ tạo nên bản hòa tấu nhạc rừng mê say đến nao lòng.
Địa chỉ: Xuân Lương, Yên Thế, Bắc Giang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch nông thôn, du lịch sinh thái",https://cdn.sgtiepthi.vn/wp-content/uploads/2023/03/Ban-Ven-Bac-Giang-1.jpg
2,Đền Cầu Khoai,"Yên Thế, Bắc Giang","Đền Cầu Khoai là di tích gắn liền với hoạt động của nghĩa quân Yên Thế do Hoàng Hoa Thám lãnh đạo. Đền Cầu Khoai hiện nay là nơi sinh hoạt văn hóa tín ngưỡng và là nơi tổ chức lễ hội truyền thống của nhân dân Bắc Giang.
Di tích đền Cầu Khoai là một trong những di tích quan trọng của Bắc Giang, được Thủ tướng Chính phủ xếp hạng là Di tích quốc gia đặc biệt. Nơi đây gắn liền với hoạt động của nghĩa quân Yên Thế do Hoàng Hoa Thám lãnh đạo.
Di tích đền Cầu Khoai còn được gọi là đền Cô, đây là cách gọi dân gian để tưởng nhớ tới hai cô Đàm Thị Hiệu Dung Hoa và Đàm Thị Hiệu Quế Hoa được thờ ở đền. Hiện nay là nơi tổ chức các hoạt động văn hóa tín ngưỡng và lễ hội truyền thống của nhân dân địa phương.
Di tích đền Cầu Khoai còn được gọi là đền Cô, một cách gọi dân gian để tưởng nhớ tới người được thờ ở đền là hai cô Đàm Thị hiệu Dung Hoa và Đàm Thị hiệu Quế Hoa. Ngôi đền nhìn ra đường 265 bên kia là khu căn cứ Đồn Hom của nghĩa quân Yên Thế. Thời kỳ nghĩa quân Yên Thế do Hoàng Hoa Thám lãnh đạo, đền Cầu Khoai là nơi ghi dấu nhiều sự kiện lịch sử gắn liền với hình ảnh của nghĩa quân, là điểm tập kết của nghĩa quân Yên Thế bên căn cứ Đồn Hom.
Địa chỉ: Đền Cô, Yên Thế, Bắc Giang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch nông thôn, du lịch văn hóa",https://dulichbacgiang.gov.vn/uploads/editor/YYn_Co_1.jpg
3,Thác Ngà,"Yên Thế, Bắc Giang","Thác Ngà là một điểm đến lý tưởng cho du khách trong mùa hè, với khí hậu mát mẻ của cánh rừng nguyên sinh và dòng thác chảy quanh năm. Với chiều dài khoảng 500m, dòng thác tạo ra một cảnh quan rất ấn tượng. Tại đây, du khách có thể tắm mình trong dòng nước trong veo, mát lạnh và thoát khỏi cái nắng nóng oi bức. Ngoài ra, thác Ngà cũng là một địa điểm check-in lý tưởng để chụp những bức hình thiên nhiên tuyệt đẹp với gia đình và bạn bè.
Từ hạ nguồn lên đến thượng nguồn Thác Ngà dài khoảng 500 mét, du khách được trải nghiệm đi bộ, leo núi trong không gian mát mẻ và chiêm ngưỡng khung cảnh núi rừng với nhiều loài cây lớn nhỏ khác nhau với dây leo chằng chịt, được nghe tiếng chim hót líu lo hòa cùng tiếng nước chảy róc rách tạo nên những âm thanh thiên nhiên vui nhộn. Trong hành trình này, du khách sẽ bắt gặp những phiến đá rêu phong nằm rải rác bên dòng suối mát, tạo không gian hấp dẫn, huyền bí khiến người ta không khỏi trầm trồ thích thú với vẻ đẹp tự nhiên của khu rừng nơi đây. Sau một chặng đường khá dài, lên đến đỉnh thác du khách sẽ được ngắm dòng thác chảy dài như dải yếm với bọt tung trắng xóa trong trẻo mát lành. Và rồi có thể đắm mình trong dòng nước trong veo mát lạnh hòa mình vào thiên nhiên núi rừng nơi đây. Tất cả đã tạo nên một khung cảnh thiên nhiên hoang sơ và tươi đẹp của miền sơn cước hữu tình làm đắm say mỗi du khách đến đây.
Địa chỉ: xã Xuân Lương, huyện Yên Thế, Bắc Giang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch sinh thái",https://lh3.googleusercontent.com/proxy/FMPxiaw3QlMG1GP-n_1ccSxTB1CIL74awCnBNfoyHinQklpe3c8Rkym76jQJk7pICoe-UkD5shwyAo__WbUz8yGtRxW9irkMXKRJCGHbfNFlvu1RGFafERqgFoxweKBWfgTN4w
4,Hồ Suối Cấy,"Yên Thế, Bắc Giang","Đây là một tọa độ yên tĩnh cho những ai muốn tạm rời xa thành phố náo nhiệt. Nước trong hồ trong vắt, rất mát mẻ, dù là cái nắng giữa trưa nhưng bạn vẫn cảm nhận được hơi mát bốc lên từ nước hồ. Nơi đây là địa điểm lý tưởng cho những gia đình, nhóm bạn có ý định tổ chức camping.
Hồ Suối Cấy Bắc Giang là một hồ nước đẹp và trong lành nằm ở xã Hồng Kỳ, huyện Yên Thế, tỉnh Bắc Giang (miền Bắc, Việt Nam). Đây là 1 trong 8 hồ nước tự nhiên của tỉnh, được mẹ thiên nhiên ban tặng cảnh đẹp vô cùng trong lành, bình yên. Vì thế điểm đến này thu hút rất nhiều du khách về dã ngoại mỗi độ hè về. 
So với nhiều điểm đến ở Bắc Giang khác, hồ nước này không nổi tiếng bằng. Tuy nhiên không vì thế mà hồ nước này kém đẹp. Đến thăm hồ, bạn sẽ được chiêm ngưỡng một khung cảnh yên bình, mặt hồ phẳng lặng như một chiếc gương khổng lồ cho mây trời soi bóng. Nếu có flycam, bạn sẽ ngắm được toàn cảnh vẻ đẹp của hồ nước từ trên cao. 
Ở hồ Suối Cấy còn có một đập nước lớn. Đây là khu vực mà người trẻ thường đến để check in sống ảo và ngắm cảnh. Nếu bạn muốn chill, hãy mang theo cần và mồi, ngồi bên bờ hồ câu cá. Bao nhiêu muộn phiền cũng theo cảnh vật dần dần tan biến. Ngoài ra, bạn có thể mang theo lều bạt để tổ chức các hoạt động dã ngoại bên bờ hồ. 
Phân loại du lịch: du lịch nông thôn, du lịch kết hợp",https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/05_2023/ho-suoi-cay-bac-giang-1.jpg
5,Động Thiên Thai,"Yên Thế, Bắc Giang","Động Thiên Thai là một trong những điểm tham quan lịch sử và thơ mộng nổi tiếng, nằm cách thành phố Bắc Giang khoảng 35km về phía Tây Bắc. Nơi đây là một thắng cảnh đẹp với động, hang động, sông suối và những cảnh quan thiên nhiên tuyệt đẹp. Nếu bạn đang có kế hoạch đi du lịch đến Bắc Giang, đừng quên ghé thăm Động Thiên Thai để tận hưởng cảm giác thư giãn và khám phá những điều mới mẻ.
Động Thiên Thai, trước Cách mạng tháng Tám năm 1945 thuộc xã Đồng Kỳ, tổng Hương Vỹ, phủ Yên Thế, tỉnh Bắc Giang; sau tháng 8/1945 thuộc xã Việt Hương. Từ năm 1953 đến trước 06/11/1996, Động Thiên Thai thuộc xã Hồng Kỳ (từ 29/8/1994 xã Đồng Kỳ được chia thành hai xã: Hồng Kỳ và Đồng Kỳ; Hồng Kỳ là phần đất của Đồng Kỳ thượng), huyện Yên Thế, tỉnh Hà Bắc. Sau khi tách tỉnh Hà Bắc thành Bắc Giang và Bắc Ninh, Động Thiên Thai thuộc xã Hồng Kỳ, huyện Yên Thế, tỉnh Bắc Giang (miền Bắc, Việt Nam)
Động Thiên Thai là nơi thờ Kỳ Đồng Nguyễn Văn Cẩm, một danh nhân yêu nước tài hoa, đầy bản lĩnh mà những trang sử chống xâm lược thực dân những năm 90 của thế kỷ XIX còn truyền tụng. Kỳ Đồng Nguyễn Văn Cẩm sinh năm 1875 tại làng Ngọc Đình, tổng Hà Lý, huyện Duyên Hà, phủ Tiên Hưng, tỉnh Thái Bình (nay là xã Văn Cẩm, huyện Hưng Hà, tỉnh Thái Bình); cha ông là một nhà nho nghèo, sống bằng nghề dạy học. Do đó Kỳ Đồng đã sớm được học chữ Nho và có tài ứng đối, lanh lợi nên đã được mệnh danh là “Kỳ Đồng”. Cùng với giá trị lịch sử, Động Thiên Thai còn bảo tồn khá nhiều giá trị văn hoá phi vật thể. Đây là nơi diễn ra nhiều sự kiện chính trị xã hội quan trọng gắn với làng xã từ xưa tới nay. Đền là trung tâm sinh hoạt văn hoá tôn giáo tín ngưỡng, nơi tổ chức lễ hội truyền thống của nhân dân địa phương.
Phân loại du lịch: du lịch núi, du lịch sinh thái",https://dulichyenthe.vn/sites/default/files/styles/sff_image_640x350px/public/dong-thien-thai-2.jpg?itok=tp4lIiJJ
6,Chùa Gám,"Yên Thành, Nghệ An","Chùa Gám (hay còn gọi là Chí Linh Tự) nằm tại xóm 6 thuộc xã Xuân Thành, huyện Yên Thành của tỉnh Nghệ An. Chùa được xây dựng từ thời nhà Trần và trở thành một trong những ngôi chùa ở Nghệ An có lịch sử lâu đời nhất hiện nay. 
Chùa Gám, còn được gọi là Chí Linh Tự, là một ngôi chùa xây dựng từ thời nhà Trần và được xem là ngôi chùa có lịch sử lâu đời nhất ở Nghệ An ngày nay. Chùa Gám được xây dựng để tôn vinh các vị thần đã có đóng góp cho đất nước và từ ngày 13 đến 15 âm lịch, chùa sẽ tổ chức lễ hội để tri ân các vị tiền nhân cũng như cầu mong cho sự thịnh vượng và an lành cho đất nước.
Chùa Gám là nơi thờ các vị thần có công với đất nước như: Uy minh vương Lý Nhật Quang, Cao Sơn, Cao Các, Tứ vị Thánh Nương, Sát Hải Đại Vương Hoàng Tá Thốn, Lý Thiên Cương. Hàng năm, lễ hội chùa Gám được tổ chức từ ngày 13 đến 15/2 âm lịch. Đây là dịp tri ân các vị tiền nhân cũng như cầu cho quốc thái dân an.
Phân loại du lịch: du lịch văn hóa",https://yenthanh.alltours.vn/wp-content/uploads/2018/06/quan-the-den-chua-gam-01.jpg
7,Đập Vệ Vừng,"Yên Thành, Nghệ An","Đập Vệ Vừng là một trong những hồ thủy lợi lớn nhất tại tỉnh Nghệ An, với diện tích mặt nước rộng lớn, bao quanh bởi các ngọn đồi lớn nhỏ và núi non thơ mộng, đây là một địa điểm sinh thái hấp dẫn mới nổi, thu hút rất nhiều khách du lịch. Nằm ở phía Tây huyện Yên Thành, tỉnh Nghệ An, uốn lượn giữa các khu rừng phòng hộ, Đập Vệ Vừng mang vẻ đẹp thơ mộng với màu nước trong xanh.
Đập Vệ Vừng còn được xem là chốn thiên đường cho những ai muốn tránh xa chốn ồn ào đô thị, để tìm tới cái thanh tịnh, bình lặng.
Với cảnh quan thiên nhiên đặc sắc, không khí trong lành, du khách khi đến đây có thể thả hồn theo những con thuyền lướt nhẹ trên mặt nước. Ngoài ra, du khách còn có thể cắm trại và chèo xuồng cao su thám hiểm sông nước mênh mông hoặc thám hiểu trên các đảo hoang sơ.
Phân loại du lịch: du lịch sinh thái, du lịch khám phá",https://toquoc.mediacdn.vn/2019/12/26/anh-1-1577351876384459805526.jpg
8,Khu di tích lịch sử Làng Ngòi,"Yên Sơn, Tuyên Quang","Khu di tích lịch sử Làng Ngòi là địa chỉ đỏ, đánh dấu tinh thần đoàn kết của nước ta cùng người anh em láng giềng, Lào.
Nơi này từng là căn cứ cách mạng của các cấp lãnh đạo nhân dân Lào. Đến đây bạn không chỉ được nhìn ngắm cảnh vật thuộc về lịch sử mà còn cảm nhận được tình hữu nghị, gắn bó của hai nước Việt - Lào.
Khu Làng Ngòi bao gồm các di tích: Hội trường Đại hội đại biểu Neo Lào Ítxala; nơi ở, làm việc của đồng chí Cayxỏn Phômvihản; nơi ở, làm việc của Hoàng thân Xuphanuvông; nơi ở, làm việc của đơn vị bộ đội Lào. Toàn bộ Khu di tích nằm trên đồi Gò Tre, đồi Tơ thuộc thôn Làng Ngòi, xã Mỹ Bằng, huyện Yên Sơn, tỉnh Tuyên Quang. Diện tích đã được khoanh vùng bảo vệ là: 1.500m2.
Tại đây, ngày 13/8/1950, đã diễn ra Đại hội toàn quốc Mặt trận Lào kháng chiến, về dự Đại hội có hơn 100 đại biểu thay mặt nhân dân các bộ tộc Lào. Đại hội đã bầu ra Chính phủ kháng chiến Lào do Hoàng thân Xu-pha-nu-vông làm Thủ tướng; đồng chí Cay-xỏn Phôm-vi-hản, làm Bộ trưởng Quốc phòng (sau này là Tổng Bí thư Đảng Nhân dân cách mạng Lào) và bầu ra Ban chấp hành Trung ương Mặt trận Lào tự do (neo Lào ITSALA) nhằm đẩy mạnh cuộc kháng chiến chống thực dân Pháp xâm lược, giành độc lập, thống nhất cho nước Lào xây dựng đời sống ấm no, hạnh phúc cho nhân dân.
Địa chỉ: Mỹ Bằng, Yên Sơn, Tuyên Quang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch văn hóa",https://lh3.googleusercontent.com/proxy/tmfVWwyFY3hJlDjescyYL_8XPEXXKaMbsdeilCzqj5rMV2c_oyQfxBs6CUjFy1gHOkIr3kgwZMwKuzpl5kxcD_SBanZ2DLO-L-UgAJYX0XDtzU9tbm_20DTQRc1pw5IyF3hSs2-Q1oTgLclVk49Cdj8fqV28
9,Khu di tích lịch sử ATK Kim Quan,"Yên Sơn, Tuyên Quang","Nơi này có tên đầy đủ là khu di tích Lịch sử An Toàn Khu Kim Quan. Sở hữu phong cảnh yên bình nên ít được nhiều người biết đến, nhưng nơi này lại là căn cứ vô cùng quan trọng trong thời kỳ chống Pháp.
Di tích Lịch sử ATK Kim Quan là nơi Bác Hồ, Văn phòng Trung ương Đảng và các cơ quan khác của Đảng, Văn phòng Chính phủ ở và công tác vào khoảng năm 1953-1954. Bên cạnh đó còn có các hầm an toàn.
Vì thế, khi đến đây, bạn không chỉ được thưởng thức sự thanh bình của bức tranh thiên nhiên, mà còn được tận mắt nhìn thấy nơi đã chứng kiến các sự kiện quan trọng và đáng tự hào trong lịch sử.
Để bảo đảm an toàn và bí mật, bộ đội công binh đã đào 3 căn hầm vào sâu trong lòng núi Nà Lơi thuộc thôn Khuôn Điển, xã Kim Quan.
Hiện nay, 3 căn hầm này vẫn được gìn giữ nguyên vẹn, thu hút đông đảo khách du lịch và là nơi thường xuyên diễn ra các buổi giáo dục truyền thống cách mạng cho thế hệ trẻ của địa phương.
Địa chỉ: Kim Quan, Yên Sơn, Tuyên Quang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch văn hóa",https://lh3.googleusercontent.com/proxy/36fd8CX-86GXtNWB5jGA3qVlOE0_AZzdUF7sRUjPPtmozDIK7o6HKgTMaiPOJSdtknEQLU3etDKwr1iJVURhdFkx5A2dEZ2TAu0F9z8CbTtOWYTqMwbJwKAfSu6ieogQRt00IWoha-GWZ02CSHoae_FQwk0
10,Suối khoáng Mỹ Lâm,"Yên Sơn, Tuyên Quang","Nằm cách trung tâm thành phố khoảng 13km, Suối khoáng Mỹ Lâm là một trong những điểm tham quan nhất định phải ghé qua khi đến với huyện Yên Sơn. Suối khoáng Mỹ Lâm được phát hiện vào năm 1960 và sau đó được xây dựng thành khu du lịch như hiện nay.
Nguồn nước khoáng tại Mỹ Lâm là sunfua cho nên sẽ mang lại khả năng thư giãn, đánh tan mệt mỏi và hỗ trợ chữa bệnh khá tốt. Bên cạnh đó, nơi này nằm trên đồi cao cho nên có cảnh quan đẹp đến bất ngờ.
Còn gì tuyệt vời hơn việc được ngâm mình trong dòng suối ấm áp đồng thời còn được ngắm cảnh thiên nhiên thơ mộng?
Đến với Khu du lịch suối khoáng Mỹ Lâm, du khách sẽ cảm nhận được sự ưu ái mà thiên nhiên đã dành cho con người khi được ngâm mình trong nguồn nước khoáng thiên nhiên ấm áp, được tận hưởng các dịch vụ như: Tắm khoáng tại bể bơi lớn ở ngoài trời, tắm khoáng bồn, tắm bồn khoáng có sục, tắm bùn khoáng, tắm lá thuốc của người Dao đỏ, xông hơi, massage, trị liệu.... Cùng với đó là hệ thống các khách sạn, nhà hàng trong khu du lịch suối khoáng Mỹ Lâm đáp ứng đa dạng nhu cầu của khách khi tới trải nghiệm dịch vụ: Khách sạn Á Châu, Nhà hàng khách sạn Ngọc Hà, Nhà hàng Quán Lá, Nhà hàng Bếp Nam….
Địa chỉ: xã Phú Lâm, huyện Yên Sơn, tỉnh Tuyên Quang (miền Bắc, Việt Nam)
Phân loại du lịch: du lịch kết hợp",https://onsenspa.vn/wp-content/uploads/suoi-khoang-nong-vinpearl-my-lam-tuyen-quang.jpg
